Offset (a),Coefficient (b),Exponent (c),Cell,Task,Type
6.12092119237236,15.4431693681878,-8.7262555738542,BS,VGS,VGS BS
4.46346591903931,11.5155417319955,-2.27059233001167,BS,VGS,VGS BS
4.68908180131889,8.51927721919939,-2.42914225970242,BS,VGS,VGS BS
4.43692848613797,8.7931838442751,-3.00483311832563,BS,VGS,VGS BS
3.37814671821633,9.37688121210461,-1.30356532445997,BS,VGS,VGS BS
6.26615691021096,11.7040366237586,-7.36589903535015,BS,VGS,VGS BS
5.58880229537596,13.5701422326235,-7.98621886447566,BS,VGS,VGS BS
4.52362557733564,7.96728196590835,-2.43928945412966,BS,VGS,VGS BS
6.22536018584565,7.14966959208057,-4.57955010209388,BS,VGS,VGS BS
6.76286763395196,10.4335052513668,-5.31899246090571,BS,VGS,VGS BS
5.34760024408986,9.16001245853444,-6.08967659119699,BS,VGS,VGS BS
5.39374100305712,8.97987586956221,-2.94557456469096,BS,VGS,VGS BS
3.32697185639995,10.8269279837721,-28.358857842787,BS,VGS,VGS BS
3.8159118305691,12.9333891114628,-1.89635548177026,BS,VGS,VGS BS
5.20792960636202,9.59600083891187,-2.26920950213744,BS,VGS,VGS BS
6.13400300032685,7.77216136328397,-2.18153611274969,BS,VGS,VGS BS
5.88751207271902,12.1799036391133,-6.81785210587185,BS,VGS,VGS BS
3.06316980797623e-08,15.7054901868367,-1.02737008797181,BS,VGS,VGS BS
4.91190432534873e-07,12.4734192355637,-0.810811413076907,BS,VGS,VGS BS
3.73934907894607,12.0220119536789,-2.98012696193641,BS,VGS,VGS BS
2.33417695822242,12.7372582506351,-1.49280422936429,BS,VGS,VGS BS
2.46096822510937,12.2924373937561,-1.40574627943746,BS,VGS,VGS BS
3.47087547500256e-06,13.7248664062995,-1.16290754009683,BS,VGS,VGS BS
1.01500016468161e-06,15.2204825811367,-1.24976172631333,BS,VGS,VGS BS
4.66548083939904,14.006503444069,-3.88718683772035,BS,VGS,VGS BS
2.31366833831847,12.192129128492,-2.15328622568357,BS,VGS,VGS BS
4.92008025967999,12.1387788596697,-4.95360450606347,BS,VGS,VGS BS
3.44942692568275,11.5262743903407,-2.63308345407722,BS,VGS,VGS BS
5.50788220469748,12.1846304219721,-4.32165136935105,BS,VGS,VGS BS
6.27013275882873,14.7804322554607,-8.24986446637881,BS,VGS,VGS BS
6.38923403225317e-06,11.8757565197711,-0.702883777681884,BS,VGS,VGS BS
4.81515717699303,11.0003840110433,-4.51395579183127,BS,VGS,VGS BS
4.49290717315856,14.4161576573157,-4.9628645729628,BS,VGS,VGS BS
1.88821880921659,11.1731349283153,-1.44433516531162,BS,VGS,VGS BS
2.35372827009985,13.5762674957198,-1.8577984642759,BS,VGS,VGS BS
5.77126757795534,7.09436355243956,-11.3653787274253,BS,VGS,VGS BS
3.57558594856648e-09,15.1256766842337,-1.20295379410787,BS,VGS,VGS BS
6.38438043442829,14.5728910328329,-10.2982361984199,BS,VGS,VGS BS
1.96118687432262,12.2490750470634,-1.83826815973619,BS,VGS,VGS BS
8.66723347653451e-06,13.9821527308671,-1.06716601411173,BS,VGS,VGS BS
7.96913185586201e-07,15.5004696964212,-1.49643214618069,BS,VGS,VGS BS
3.56862231900479,13.2016393405405,-3.24523945935328,BS,VGS,VGS BS
4.77731451126523,8.84958627438032,-2.30314172116817,BS,VGS,VGS BS
3.67786154717578,10.1649354590696,-2.57938118893539,BS,VGS,VGS BS
3.92534342192728,8.04904902574144,-1.96374343308239,BS,VGS,VGS BS
4.97790056082636,11.6615868914361,-5.33667390980271,BS,VGS,VGS BS
5.76203506741327,6.0788699567238,-3.75999279314775,BS,VGS,VGS BS
4.27001581569716,12.5548019650625,-4.23038938270733,BS,VGS,VGS BS
6.40557274011848,8.64511595967026,-2.49000748076537,BS,VGS,VGS BS
2.0101289023537,12.2180328707916,-1.6163867963152,BS,VGS,VGS BS
5.28096935560051,10.9310695180009,-3.74408071180996,BS,VGS,VGS BS
5.54554168378943,12.0334043204053,-5.03760407053823,BS,VGS,VGS BS
6.90869544588191,13.2158063009666,-7.8961716745941,BS,VGS,VGS BS
1.23299301802405e-05,14.2118250693598,-1.12655767803984,BS,VGS,VGS BS
2.81612825225937,13.465438479646,-2.192887523345,BS,VGS,VGS BS
3.58633240228974,12.5481845831409,-2.02921316218554,BS,VGS,VGS BS
6.33285892196263,9.0669342531983,-3.88174691002933,BS,VGS,VGS BS
5.13788025122598,10.7535101924335,-4.87639783027432,BS,VGS,VGS BS
4.66279574782004,12.3505154861654,-3.82339950903796,BS,VGS,VGS BS
5.52005146616259,9.32885434855109,-7.90827369308551,BS,VGS,VGS BS
4.03149620536364e-06,13.733432447949,-1.28143473133442,BS,VGS,VGS BS
5.18708696924935,11.1379714205416,-4.40645360550902,BS,VGS,VGS BS
5.00095922281721,12.0528537148874,-2.78811121409597,BS,VGS,VGS BS
4.1759988542181,12.9487743561463,-3.36959707144712,BS,VGS,VGS BS
5.01387254170972e-08,13.1887134829914,-1.57500888331319,BS,VGS,VGS BS
3.92806293572438,13.6911198155199,-5.68252032636078,BS,VGS,VGS BS
3.96366259755298,15.2997704502999,-4.03232196905607,BS,VGS,VGS BS
4.94319440531118,11.0909910410692,-5.58589027336987,BS,VGS,VGS BS
5.42305736551748,14.0884516369294,-11.0482788083938,BS,VGS,VGS BS
5.43000388500951,10.8634546069836,-2.74634999681215,BS,VGS,VGS BS
