Offset (a),Coefficient (b),Exponent (c),Cell,Task,Type
6.61643402818877,14.6397478095792,-8.32076585740058,NS,VGS,VGS NS
6.64636710154637,20.9077496293021,-8.6587475722065,NS,VGS,VGS NS
7.66431095191135,18.4906071672015,-5.71618909511409,NS,VGS,VGS NS
6.45850567783261,31.5727134189918,-12.1511803605382,NS,VGS,VGS NS
5.5435286110921,25.519147504401,-15.8575195575334,NS,VGS,VGS NS
4.38436024044434e-07,13.4208215793318,-1.17088374164938,NS,VGS,VGS NS
8.41988822509157,24.1203644408519,-18.1221030978302,NS,VGS,VGS NS
5.4609336000581,20.5268847914256,-7.12913396248283,NS,VGS,VGS NS
2.97239190321874,32.6873680416635,-4.82448684193572,NS,VGS,VGS NS
6.9563596409952,27.4331867977088,-9.02549454234262,NS,VGS,VGS NS
4.01345056255249,26.7485367568127,-8.10423384642885,NS,VGS,VGS NS
3.86132700877627,32.0525692805031,-6.33779502256545,NS,VGS,VGS NS
6.17983719282324,25.1011325431828,-9.4060774922953,NS,VGS,VGS NS
5.11491150503933,30.7891696217724,-8.67617610406433,NS,VGS,VGS NS
7.12423152735172,15.9145669405713,-8.46261568176996,NS,VGS,VGS NS
8.23133562747481,37.7500362289091,-16.392745856027,NS,VGS,VGS NS
6.31448279487583,28.0967318054552,-31.6395148693787,NS,VGS,VGS NS
8.53303935464932,23.3461145591193,-10.3034241671076,NS,VGS,VGS NS
4.71936088661376,14.8488498731244,-3.13744657600491,NS,VGS,VGS NS
9.92222983043742,26.3270796835238,-31.6395336090333,NS,VGS,VGS NS
4.53037411482267,42.5810620425398,-8.24322423044978,NS,VGS,VGS NS
8.24215576867676,22.1748914465962,-6.61647976195589,NS,VGS,VGS NS
5.1270020287302,24.8572654710937,-4.08958300054964,NS,VGS,VGS NS
7.19052186986741,32.0401651506373,-5.77532881421001,NS,VGS,VGS NS
7.48761171329955,22.5373602172275,-13.1814355826244,NS,VGS,VGS NS
11.4140630097446,13.8723972874596,-31.6395204211595,NS,VGS,VGS NS
6.60073853070289,25.9639329893877,-4.57243455441817,NS,VGS,VGS NS
5.89619706433191,28.5742380513217,-11.0253395229019,NS,VGS,VGS NS
8.45954274919929,24.9791389292198,-14.6169779552234,NS,VGS,VGS NS
7.56159152964773,40.3474699172978,-31.639532920098,NS,VGS,VGS NS
6.23441511157858,25.0581085161955,-13.3642353654756,NS,VGS,VGS NS
8.32860628085626,19.7374767748067,-13.7859294405717,NS,VGS,VGS NS
7.91295673837238,34.200148357163,-14.6316301405068,NS,VGS,VGS NS
6.22845918921867,25.7322179508791,-11.1735598582137,NS,VGS,VGS NS
5.27921997226912,27.0516044046355,-5.48972799259732,NS,VGS,VGS NS
9.75696340737655,34.9270005264148,-19.0994309767777,NS,VGS,VGS NS
7.57046500701508,23.8697754878312,-13.8646291897625,NS,VGS,VGS NS
9.87144594827309,27.589091425251,-13.196313990888,NS,VGS,VGS NS
5.60257185248749,36.5487870622838,-25.1920790281694,NS,VGS,VGS NS
7.54082655517197,40.7103886147875,-31.6395309331813,NS,VGS,VGS NS
11.3517213114319,31.0331062931157,-12.3384181297753,NS,VGS,VGS NS
8.83620858714206,36.228792697221,-31.6395329162517,NS,VGS,VGS NS
6.49132993528101,38.705685591155,-14.7086693128039,NS,VGS,VGS NS
8.47855146259781,28.3478376965613,-8.8623592723145,NS,VGS,VGS NS
7.45311518593088,24.6091992034067,-6.60286555951548,NS,VGS,VGS NS
8.81606661827221,13.323983384682,-10.8775551319078,NS,VGS,VGS NS
9.79436325216581,24.0222571168963,-31.639530977534,NS,VGS,VGS NS
8.87867604084236,25.52129140944,-10.0385435606178,NS,VGS,VGS NS
8.01167630942245,25.6879637257159,-10.9601794477085,NS,VGS,VGS NS
6.17748127543158,19.7811994039481,-7.80048081563904,NS,VGS,VGS NS
6.68314407124003,27.9251416193853,-10.7296933007888,NS,VGS,VGS NS
7.73002256621449,31.9665369789979,-10.4564799631022,NS,VGS,VGS NS
6.52566968919717,35.3358910666772,-10.2886751986846,NS,VGS,VGS NS
12.3901971154629,22.7784950587819,-15.8008838455638,NS,VGS,VGS NS
9.4616555555748,17.5088016264553,-18.5285033110534,NS,VGS,VGS NS
9.14171890140587e-10,31.4874033425581,-13.6357031590311,NS,VGS,VGS NS
8.25811910644226,18.8929423953597,-13.5853925854285,NS,VGS,VGS NS
9.65063746180001,20.3848666146822,-14.7275191740695,NS,VGS,VGS NS
8.37112026833821,17.1197157584685,-31.6395329120328,NS,VGS,VGS NS
7.47193021199548,20.1853308525458,-9.64388167819291,NS,VGS,VGS NS
8.99121990465704,16.7421928561415,-22.0730715432277,NS,VGS,VGS NS
5.34386839974576,24.0532373325197,-4.8579523731365,NS,VGS,VGS NS
8.46088083504605,17.411497177348,-8.97601640135678,NS,VGS,VGS NS
2.12189067730078,26.1403030942684,-15.3296334283822,NS,VGS,VGS NS
8.06562470599474,43.1421945039625,-23.4013669773934,NS,VGS,VGS NS
6.14503211784644,34.0147754663459,-10.72469336425,NS,VGS,VGS NS
7.3921338363694,28.9452890243344,-10.3478589199654,NS,VGS,VGS NS
7.04202614517236,12.1439666021083,-5.11205796334529,NS,VGS,VGS NS
8.09676153239017,22.5496339850775,-7.01846404516055,NS,VGS,VGS NS
7.25217867343414,32.4831637059657,-13.5050606040421,NS,VGS,VGS NS
