VGS BS,VGS NS
50,50
150,150
150,150
150,150
150,150
200,1400
200,200
150,100
100,150
150,150
150,150
150,50
150,150
150,150
200,200
250,150
150,0
200,150
200,150
0,150
50,150
150,150
150,150
200,50
50,150
150,200
150,150
150,250
150,150
200,100
150,150
150,NaN
200,150
200,NaN
200,0
100,150
150,150
200,100
200,200
100,150
150,100
100,150
200,50
0,200
200,50
250,250
100,150
100,150
150,150
50,NaN
200,150
150,150
200,150
150,150
150,150
150,1900
50,200
0,150
150,150
150,250
250,200
150,0
200,200
200,1700
200,150
200,150
150,NaN
50,NaN
150,100
200,150
