VGS BS,VGS NS
23.231,4.33799999999997
2.30200000000002,NaN
120.232,NaN
NaN,21.873
187.106,NaN
88.6990000000001,NaN
54.662,NaN
193.804,NaN
37.001,NaN
4.57100000000003,NaN
110.672,NaN
10.487,63.086
88.552,NaN
20.74,NaN
NaN,NaN
229.074,10.915
43.484,21.399
82.749,17.692
NaN,NaN
84.022,48.96
87.4930000000001,NaN
31.982,45.1320000000001
NaN,NaN
NaN,3.25200000000007
128.01,NaN
NaN,NaN
59.484,NaN
82.078,NaN
46.117,11.75
91.352,29.766
NaN,NaN
40.119,NaN
75.927,24.881
NaN,NaN
75.779,15.119
NaN,35.439
NaN,NaN
54.943,9.89400000000001
NaN,NaN
0.02800000000002,22.458
6.70699999999999,27.611
97.077,14.058
NaN,27.938
5.18100000000004,NaN
NaN,NaN
45.715,NaN
NaN,NaN
152.468,NaN
33.76,NaN
107.939,NaN
NaN,NaN
17.4880000000001,NaN
38.89,NaN
31.6700000000001,NaN
13.9110000000001,NaN
51.086,NaN
9.30700000000002,NaN
48.472,NaN
35.789,NaN
NaN,NaN
NaN,NaN
33.5890000000001,122.731
116.949,NaN
71.8340000000001,NaN
NaN,37.7140000000001
24.657,35.7670000000001
67.653,NaN
268.368,NaN
34.9160000000001,NaN
57.626,15.442
