Cell,PSTH max Latency,Type,Task,Cell_type
T20170330_VChan007_2,260,VGS BS,VGS,BS
T20170330_VChan010_2,340,VGS BS,VGS,BS
T20170330_VChan012_3,160,VGS BS,VGS,BS
T20170330_VChan013_2,480,VGS BS,VGS,BS
T20170330_VChan016_3,560,VGS BS,VGS,BS
T20170330_DChan010_2,360,VGS BS,VGS,BS
T20170408_VChan079_2,150,VGS BS,VGS,BS
T20170408_DChan062_4,130,VGS BS,VGS,BS
T20170413_Velec77_1,260,VGS BS,VGS,BS
T20170413_Velec66_2,130,VGS BS,VGS,BS
T20170413_Velec63_1,300,VGS BS,VGS,BS
T20170413_Velec65_1,390,VGS BS,VGS,BS
T20170413_Velec52_1,600,VGS BS,VGS,BS
T20170413_Velec52_2,520,VGS BS,VGS,BS
T20170413_Velec3_2,250,VGS BS,VGS,BS
B20171109_VChan093_2,210,VGS BS,VGS,BS
B20171109_DChan013_2,310,VGS BS,VGS,BS
B20171109_DChan017_3,350,VGS BS,VGS,BS
B20171109_DChan017_4,190,VGS BS,VGS,BS
B20171109_DChan025_4,240,VGS BS,VGS,BS
B20171109_DChan046_2,500,VGS BS,VGS,BS
B20171109_DChan069_2,170,VGS BS,VGS,BS
B20171109_DChan085_6,190,VGS BS,VGS,BS
B20171110_VChan093_4,170,VGS BS,VGS,BS
B20171110_DChan010_4,300,VGS BS,VGS,BS
B20171110_DChan088_3,430,VGS BS,VGS,BS
B20171110_DChan096_2,410,VGS BS,VGS,BS
B20171111_VChan063_2,330,VGS BS,VGS,BS
T20170330_VChan023_2,140,VGS NS,VGS,NS
T20170408_DChan021_5,120,VGS NS,VGS,NS
T20170408_DChan058_2,130,VGS NS,VGS,NS
B20171109_VChan071_2,130,VGS NS,VGS,NS
B20171109_DChan012_3,150,VGS NS,VGS,NS
B20171109_DChan022_2,400,VGS NS,VGS,NS
B20171109_DChan040_3,260,VGS NS,VGS,NS
B20171109_DChan042_2,230,VGS NS,VGS,NS
T20170330_VChan001_3,660,VR BS,VR,BS
T20170330_VChan007_2,490,VR BS,VR,BS
T20170330_VChan009_2,400,VR BS,VR,BS
T20170330_VChan010_2,390,VR BS,VR,BS
T20170330_VChan012_3,180,VR BS,VR,BS
T20170330_VChan056_2,370,VR BS,VR,BS
T20170330_VChan091_2,580,VR BS,VR,BS
T20170330_DChan010_2,1810,VR BS,VR,BS
T20170330_DChan012_2,280,VR BS,VR,BS
T20170408_VChan007_2,330,VR BS,VR,BS
T20170408_VChan010_2,50,VR BS,VR,BS
T20170408_VChan079_2,180,VR BS,VR,BS
T20170408_VChan091_2,430,VR BS,VR,BS
T20170408_DChan011_4,210,VR BS,VR,BS
T20170408_DChan012_3,330,VR BS,VR,BS
T20170408_DChan062_3,70,VR BS,VR,BS
T20170413_Velec94_1,260,VR BS,VR,BS
T20170413_Velec97_1,1690,VR BS,VR,BS
T20170413_Velec77_1,290,VR BS,VR,BS
T20170413_Velec63_1,210,VR BS,VR,BS
T20170413_Velec63_2,150,VR BS,VR,BS
T20170413_Velec65_1,450,VR BS,VR,BS
T20170413_Velec52_2,410,VR BS,VR,BS
T20170413_Velec3_2,500,VR BS,VR,BS
T20170413_Delec88_2,150,VR BS,VR,BS
T20170413_Delec78_1,500,VR BS,VR,BS
B20171109_VChan015_2,460,VR BS,VR,BS
B20171109_VChan024_2,210,VR BS,VR,BS
B20171109_VChan050_2,200,VR BS,VR,BS
B20171109_VChan061_3,360,VR BS,VR,BS
B20171109_VChan091_2,230,VR BS,VR,BS
B20171109_DChan001_2,600,VR BS,VR,BS
B20171109_DChan069_2,560,VR BS,VR,BS
B20171109_DChan085_4,190,VR BS,VR,BS
B20171109_DChan086_2,180,VR BS,VR,BS
B20171109_DChan090_2,100,VR BS,VR,BS
B20171110_VChan036_2,260,VR BS,VR,BS
B20171110_VChan093_4,330,VR BS,VR,BS
B20171110_DChan001_2,480,VR BS,VR,BS
B20171110_DChan010_2,1110,VR BS,VR,BS
B20171110_DChan010_4,620,VR BS,VR,BS
B20171110_DChan029_3,480,VR BS,VR,BS
B20171110_DChan031_3,480,VR BS,VR,BS
B20171110_DChan085_2,200,VR BS,VR,BS
B20171110_DChan088_3,1920,VR BS,VR,BS
B20171110_DChan090_2,160,VR BS,VR,BS
B20171111_VChan036_2,240,VR BS,VR,BS
B20171111_VChan063_2,320,VR BS,VR,BS
T20170330_VChan023_2,210,VR NS,VR,NS
T20170330_VChan091_2,580,VR NS,VR,NS
