Cell,Latency,Type,Task,Cell_type
T20170330_VChan007_2,67.283,VGS BS,VGS,BS
T20170330_VChan010_2,22.899,VGS BS,VGS,BS
T20170330_VChan012_3,0.0370000000000346,VGS BS,VGS,BS
T20170330_VChan013_2,252.111,VGS BS,VGS,BS
T20170330_VChan016_3,358.256,VGS BS,VGS,BS
T20170330_DChan010_2,119.186,VGS BS,VGS,BS
T20170408_VChan079_2,11.13,VGS BS,VGS,BS
T20170408_DChan062_4,1.55600000000004,VGS BS,VGS,BS
T20170413_Velec77_1,4.20000000000005,VGS BS,VGS,BS
T20170413_Velec66_2,0,VGS BS,VGS,BS
T20170413_Velec63_1,153.439,VGS BS,VGS,BS
T20170413_Velec65_1,200.903,VGS BS,VGS,BS
T20170413_Velec52_1,15.855,VGS BS,VGS,BS
T20170413_Velec52_2,58.4450000000001,VGS BS,VGS,BS
T20170413_Velec3_2,56.782,VGS BS,VGS,BS
B20171109_VChan093_2,62.681,VGS BS,VGS,BS
B20171109_DChan013_2,101.41,VGS BS,VGS,BS
B20171109_DChan017_3,124.679,VGS BS,VGS,BS
B20171109_DChan017_4,51.057,VGS BS,VGS,BS
B20171109_DChan025_4,101.467,VGS BS,VGS,BS
B20171109_DChan046_2,291.748,VGS BS,VGS,BS
B20171109_DChan069_2,42.494,VGS BS,VGS,BS
B20171109_DChan085_6,41.923,VGS BS,VGS,BS
B20171110_VChan093_4,37.625,VGS BS,VGS,BS
B20171110_DChan010_4,160.37,VGS BS,VGS,BS
B20171110_DChan088_3,186.656,VGS BS,VGS,BS
B20171110_DChan096_2,310.492,VGS BS,VGS,BS
B20171111_VChan063_2,32.523,VGS BS,VGS,BS
T20170330_VChan023_2,0,VGS NS,VGS,NS
T20170408_DChan021_5,0.84699999999998,VGS NS,VGS,NS
T20170408_DChan058_2,22.248,VGS NS,VGS,NS
B20171109_VChan071_2,22.042,VGS NS,VGS,NS
B20171109_DChan012_3,15.667,VGS NS,VGS,NS
B20171109_DChan022_2,124.884,VGS NS,VGS,NS
B20171109_DChan040_3,75.1460000000001,VGS NS,VGS,NS
B20171109_DChan042_2,NaN,VGS NS,VGS,NS
