cellName,instfr,stimFR,fastAdapt,slowAdapt,start,peak,selective,fr34,fr56,decay,decay10,decayall,decayInt,decay10Int,decayallInt,frBase,frStart,frLate,narrow
T20170330_VChan001_3,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
T20170330_VChan007_2,111.111111111111,9.01369863013699,7.59615384615385,1.96875,910,104,1,11.7054580100721,4.74628171478565,-20.2366811947817,NaN,-18.651408663808,101.414573963585,NaN,124.085360413061,28,231,37,0
T20170330_VChan009_2,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
T20170330_VChan010_2,250,43.4444444444444,4,0.925925925925926,866,226,1,58.8235294117647,66.6666666666667,-4.7232135416965,-10.0059477006298,-6.76243836480863,139.833330258309,171.60749079647,183.414523475343,18,370,204,0
T20170330_VChan012_3,142.857142857143,17.3559322033898,3.72077922077922,3.94736842105263,844,72,1,37.037037037037,5.43478260869565,-21.8337186363315,NaN,-36.3690215734048,127.624971474995,NaN,180.646272100646,23,238,21,0
T20170330_VChan013_2,142.857142857143,16.7017543859649,4.72222222222223,1.08163265306122,1091,138,1,35.7142857142857,34.4827586206897,-9.26517032012455,-9.26517032012455,-9.30816448555898,129.495705468026,167.961620503382,136.788908662276,18,216,99,0
T20170330_VChan014_2,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
T20170330_VChan016_3,32.258064516129,7.808,4.05882352941177,1.39664804469274,1197,53,1,9.34579439252336,2.68817204301075,-6.6132710351142,NaN,-6.11569515985077,33.3063876883595,NaN,34.6313404531744,16,120,40,0
T20170330_VChan018_2,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
T20170330_VChan019_2,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
T20170330_VChan023_2,200,32.8587570621469,2.04166666666667,1.5,840,61,1,125,66.6666666666667,-6.77360408673748,-7.06678598346102,-6.35601193279377,163.868267589493,158.664394588333,158.830528073318,79,380,26,1
T20170330_VChan031_3,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
T20170330_VChan040_2,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
T20170330_VChan042_2,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
T20170330_VChan043_2,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
T20170330_VChan047_3,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,10,92,18,0
T20170330_VChan056_2,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
T20170330_VChan071_2,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,112,95,21,0
T20170330_VChan077_3,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
T20170330_VChan082_2,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
T20170330_VChan091_2,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
T20170330_DChan007_2,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
T20170330_DChan010_2,333.333333333333,38.7333333333333,5,0.833333333333333,964,148,1,66.6666666666667,76.9230769230769,-5.75389057473148,-9.84055119066489,-7.55895539904065,231.947791044277,207.515445341436,235.375610841706,203,438,204,0
T20170330_DChan011_2,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
T20170330_DChan012_2,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
T20170330_DChan014_2,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
T20170330_DChan016_2,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
T20170330_DChan022_2,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
T20170330_DChan023_2,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
T20170330_DChan069_2,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
T20170408_VChan007_2,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,4,75,15,0
T20170408_VChan010_2,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
T20170408_VChan014_2,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
T20170408_VChan044_2,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
T20170408_VChan068_2,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
T20170408_VChan079_2,100,17.4193548387097,2.55555555555555,1.57142857142857,855,58,1,40,27.7777777777778,-9.32373592409093,NaN,-16.4777746128512,87.3460604010268,NaN,130.013525541661,41,199,51,0
