VGS BS,VGS NS
-13.4383866304712,-12.3400512541991
-5.2415223976963,-56.1775074999961
-9.94357729860513,-17.3117319372252
-3.9774696570155,-9.34403907275732
-3.65980416776657,-14.8768393551402
NaN,-25.9231514310363
-6.35847118608443,-2.55926361976014
-24.1557789817519,NaN
-2.80625077572872,NaN
-25.2167505980702,NaN
-6.44193048846369,NaN
-27.4585475135364,NaN
-11.9443698463637,NaN
-2.40244102234099,NaN
-2.22671177655493,NaN
-7.51147238937746,NaN
-11.5510864265968,NaN
-2.42566601733113,NaN
-158.197604896798,NaN
-10.5327278462597,NaN
NaN,NaN
-8.64698685179424,NaN
-18.0888699994638,NaN
-7.1578700749242,NaN
NaN,NaN
-45.4109616597279,NaN
NaN,NaN
-8.01505380535385,NaN
